tn_proba,fp_proba,fn_proba,tp_proba,accuracy_proba,balanced_accuracy_proba,f1_weighted_proba,f1_macro_proba,precision_1_proba,recall_1_proba,precision_0_proba,recall_0_proba,roc_auc_proba,tn_ratio,fp_ratio,fn_ratio,tp_ratio,accuracy_ratio,balanced_accuracy_ratio,f1_weighted_ratio,f1_macro_ratio,precision_1_ratio,recall_1_ratio,precision_0_ratio,recall_0_ratio,roc_auc_ratio,best_thresh_proba,tn_proba_best,fp_proba_best,fn_proba_best,tp_proba_best,balanced_accuracy_proba_best,accuracy_proba_best,f1_weighted_proba_best,f1_macro_proba_best,precision_1_proba_best,recall_1_proba_best,precision_0_proba_best,recall_0_proba_best,best_thresh_ratio,tn_ratio_best,fp_ratio_best,fn_ratio_best,tp_ratio_best,balanced_accuracy_ratio_best,accuracy_ratio_best,f1_weighted_ratio_best,f1_macro_ratio_best,precision_1_ratio_best,recall_1_ratio_best,precision_0_ratio_best,recall_0_ratio_best,perm_or_obs
110,90,307,328,0.5245508982035928,0.5332677165354331,0.5591692768263451,0.4897729878821181,0.784688995215311,0.5165354330708661,0.2637889688249401,0.55,0.5251102362204725,112,88,304,331,0.5305389221556887,0.5406299212598425,0.5647428620420019,0.4958599275487321,0.7899761336515513,0.521259842519685,0.2692307692307692,0.56,0.5304330708661417,0.5,110,90,307,328,0.5332677165354331,0.5245508982035928,0.5591692768263451,0.4897729878821181,0.784688995215311,0.5165354330708661,0.2637889688249401,0.55,0.5,112,88,304,331,0.5406299212598425,0.5305389221556887,0.5647428620420019,0.4958599275487321,0.7899761336515513,0.521259842519685,0.2692307692307692,0.56,25
100,100,318,317,0.4994011976047904,0.4996062992125984,0.5358263870207092,0.4631430962137153,0.7601918465227818,0.49921259842519683,0.23923444976076555,0.5,0.4824094488188976,99,101,323,312,0.49221556886227547,0.49316929133858267,0.5290505364176534,0.4568739108023858,0.7554479418886199,0.49133858267716535,0.23459715639810427,0.495,0.47418503937007866,0.0,0,200,0,635,0.5,0.7604790419161677,0.6570125056010427,0.43197278911564624,0.7604790419161677,1.0,0.0,0.0,0.0,0,200,0,635,0.5,0.7604790419161677,0.6570125056010427,0.43197278911564624,0.7604790419161677,1.0,0.0,0.0,26
98,102,324,311,0.48982035928143713,0.48988188976377955,0.5268290766837744,0.4543119952873027,0.7530266343825666,0.48976377952755906,0.23222748815165878,0.49,0.48738582677165354,93,107,308,327,0.5029940119760479,0.4899803149606299,0.5393789264866602,0.4606354547845888,0.7534562211981567,0.5149606299212598,0.23192019950124687,0.465,0.4904291338582677,0.51,184,16,576,59,0.5064566929133858,0.29101796407185626,0.21820584183745187,0.2747652582159624,0.7866666666666666,0.09291338582677165,0.24210526315789474,0.92,0.52,198,2,625,10,0.5028740157480315,0.24910179640718563,0.11622564314458285,0.20900433763773246,0.8333333333333334,0.015748031496062992,0.24058323207776428,0.99,27
91,109,317,318,0.48982035928143713,0.47789370078740157,0.5271268346447159,0.44910608088016657,0.7447306791569087,0.5007874015748032,0.22303921568627452,0.455,0.4778661417322834,94,106,304,331,0.5089820359281437,0.4956299212598425,0.544925087677189,0.4659592921679229,0.7574370709382151,0.521259842519685,0.23618090452261306,0.47,0.48163385826771654,0.51,185,15,580,55,0.5058070866141733,0.2874251497005988,0.21049335569848063,0.26972402895674863,0.7857142857142857,0.08661417322834646,0.24183006535947713,0.925,0.49,22,178,65,570,0.5038188976377953,0.7089820359281437,0.6635800632252995,0.48880255768780184,0.7620320855614974,0.8976377952755905,0.25287356321839083,0.11,28
97,103,325,310,0.4874251497005988,0.4865944881889764,0.5246076169498954,0.45175007977221965,0.7506053268765133,0.4881889763779528,0.22985781990521326,0.485,0.4803700787401574,96,104,321,314,0.49101796407185627,0.48724409448818895,0.5280779411868936,0.45378720365214154,0.7511961722488039,0.494488188976378,0.2302158273381295,0.48,0.4779330708661417,0.48,6,194,10,625,0.5071259842519685,0.755688622754491,0.6670885647320672,0.4576264710377503,0.7631257631257631,0.984251968503937,0.375,0.03,0.49,28,172,77,558,0.5093700787401575,0.7017964071856287,0.665731912144006,0.5005944874797333,0.7643835616438356,0.878740157480315,0.26666666666666666,0.14,29
95,105,328,307,0.481437125748503,0.4792322834645669,0.5190215080057108,0.4457066816295431,0.7451456310679612,0.48346456692913387,0.22458628841607564,0.475,0.48773228346456693,89,111,315,320,0.48982035928143713,0.4744685039370079,0.5271600853559212,0.4475386106382715,0.7424593967517401,0.5039370078740157,0.2202970297029703,0.445,0.4714330708661418,0.49,22,178,52,583,0.5140551181102362,0.7245508982035929,0.6736484365049417,0.4979137473072177,0.7660972404730617,0.9181102362204724,0.2972972972972973,0.11,0.52,196,4,620,15,0.5018110236220472,0.25269461077844313,0.12729795772177382,0.2158491656432854,0.7894736842105263,0.023622047244094488,0.24019607843137256,0.98,30
97,103,309,326,0.5065868263473053,0.4991929133858268,0.5426861604714341,0.4664569840442691,0.7599067599067599,0.5133858267716536,0.23891625615763548,0.485,0.490511811023622,92,108,302,333,0.5089820359281437,0.49220472440944885,0.5449004735450432,0.46436170878550065,0.7551020408163265,0.5244094488188976,0.233502538071066,0.46,0.4895748031496063,0.49,19,181,49,586,0.5089173228346456,0.7245508982035929,0.6696833513758991,0.488869844784636,0.7640156453715776,0.9228346456692913,0.27941176470588236,0.095,0.49,25,175,65,570,0.5113188976377953,0.7125748502994012,0.6695185341461006,0.4992503748125937,0.7651006711409396,0.8976377952755905,0.2777777777777778,0.125,31
103,97,318,317,0.5029940119760479,0.5071062992125984,0.539076840952966,0.46805407803459775,0.7657004830917874,0.49921259842519683,0.24465558194774348,0.515,0.5192047244094489,108,92,313,322,0.5149700598802395,0.5235433070866142,0.5501834230986776,0.4808720520578605,0.7777777777777778,0.5070866141732283,0.25653206650831356,0.54,0.520751968503937,0.49,20,180,42,593,0.5169291338582678,0.7341317365269461,0.6771420509085923,0.49750065058986814,0.7671410090556274,0.9338582677165355,0.3225806451612903,0.1,0.5,108,92,313,322,0.5235433070866142,0.5149700598802395,0.5501834230986776,0.4808720520578605,0.7777777777777778,0.5070866141732283,0.25653206650831356,0.54,32
104,96,342,293,0.4754491017964072,0.49070866141732283,0.512317313418828,0.4471235245743034,0.7532133676092545,0.46141732283464565,0.23318385650224216,0.52,0.4983149606299213,101,99,340,295,0.474251497005988,0.4847834645669291,0.5115184094453739,0.4442524056647397,0.748730964467005,0.4645669291338583,0.2290249433106576,0.505,0.4957283464566929,0.49,25,175,51,584,0.5223425196850393,0.7293413173652694,0.6805790826182454,0.5095180171750566,0.769433465085639,0.9196850393700787,0.32894736842105265,0.125,0.49,25,175,67,568,0.509744094488189,0.7101796407185629,0.6679399814205417,0.4978080203590671,0.7644683714670256,0.8944881889763779,0.2717391304347826,0.125,33
96,104,306,329,0.5089820359281437,0.49905511811023623,0.5449269067971042,0.4675208729951348,0.7598152424942263,0.5181102362204725,0.23880597014925373,0.48,0.4747165354330708,91,109,306,329,0.5029940119760479,0.4865551181102362,0.5393713362402566,0.4590457725096436,0.7511415525114156,0.5181102362204725,0.22921914357682618,0.455,0.4714842519685039,0.53,200,0,633,2,0.5015748031496063,0.24191616766467067,0.09752308744091463,0.1967505596325953,1.0,0.0031496062992125984,0.24009603841536614,1.0,0.52,198,2,627,8,0.5012992125984252,0.2467065868263473,0.11140147385320114,0.20557383248251088,0.8,0.012598425196850394,0.24,0.99,34
