train_circ_mse_rad_ch,test_circ_mse_rad_ch,train_circ_mse_deg_ch,test_circ_mse_deg_ch,fold,perm,train_circ_mse_rad_sac,train_circ_mse_deg_sac,test_circ_mse_rad_sac,test_circ_mse_deg_sac
3.2734198003655957,3.2986531580376814,10746.003306894358,10828.839533692393,3,12,3.1158522393191572,10228.739516935242,3.3726696871800703,11071.821465566858
3.276462877212275,3.286461298018753,10755.993138890202,10788.816018203801,4,12,3.1053630819875093,10194.305644640637,3.2401620100448145,10636.824421641935
3.2789279187953633,3.289376125255989,10764.08539305221,10798.384831567388,0,13,3.1792777225686066,10436.953096099096,3.35767705997614,11022.603573778437
3.27651385603858,3.2952937026394076,10756.160492504912,10817.81109217836,1,13,3.1475617209497164,10332.835604587624,3.3757203972558196,11081.83635597557
3.2754063997311853,3.2897461122657927,10752.52492790664,10799.599427272593,2,13,3.063072194662609,10055.472851182823,3.235782213838865,10622.446398845286
3.2705071837842645,3.2959033451738207,10736.441750686012,10819.81243056157,3,13,3.028383488458215,9941.596546181345,3.4935020726736026,11468.490787952094
3.276748486746982,3.286908679741076,10756.930739684367,10790.284685762721,4,13,3.1190711428990214,10239.306554047298,3.3468461447692377,10987.04777656078
3.2758769856592482,3.293753473074638,10754.069770379507,10812.754816782657,0,14,3.1481298656635466,10334.70071366191,3.3806697659892078,11098.084175082087
3.276555726880214,3.2770270159885295,10756.297946369716,10757.845097247184,1,14,3.1275586286954113,10267.16932631532,3.1604537844394094,10375.157752476342
3.2776292154119187,3.279825440066534,10759.82200133826,10767.031781580481,2,14,3.173254122206651,10417.178782580937,3.1179114409064264,10235.499476981882
3.2696432779566167,3.2821091617678766,10733.605715149195,10774.52879768331,3,14,3.027335899279377,9938.157513772852,3.229985969724309,10603.418451859805
3.27472548076183,3.303001025023419,10750.289602790204,10843.11273904218,4,14,3.0295291553464287,9945.357548716971,3.494393940266025,11471.418616547866
3.279111321616241,3.2736164660995963,10764.6874689972,10746.648922414763,0,15,3.12613720602975,10262.503070962437,3.024722205589043,9929.57726352924
3.274903702041619,3.282921720413192,10750.874668739194,10777.196270363906,1,15,3.049498662885838,10010.913574873952,3.2096475018883113,10536.651200498278
3.2776177157012167,3.292167203481147,10759.784250014953,10807.54740088832,2,15,3.0858160663914718,10130.136577718184,3.2409305516524554,10639.347394911747
3.273682760787698,3.2946819039909583,10746.866555037835,10815.8026756903,3,15,3.1006007607004005,10178.671866078517,3.3932087408372635,11139.247201335924
3.275106904503536,3.300850787918389,10751.541743071515,10836.053927019753,4,15,3.0876548816726244,10136.17305219965,3.360568741770115,11032.096405133912
